dataset,field,value,n_features
San Mateo vegetation,IMPERVIOUS_18,18,383
San Mateo vegetation,IMPERVIOUS_18,19,363
San Mateo vegetation,IMPERVIOUS_18,20,269
San Mateo vegetation,IMPERVIOUS_18,21,268
San Mateo vegetation,IMPERVIOUS_18,22,235
San Mateo vegetation,IMPERVIOUS_18,23,211
San Mateo vegetation,IMPERVIOUS_18,25,185
San Mateo vegetation,IMPERVIOUS_18,24,175
San Mateo vegetation,IMPERVIOUS_18,51,171
San Mateo vegetation,IMPERVIOUS_18,53,163
San Mateo vegetation,IMPERVIOUS_18,26,161
San Mateo vegetation,IMPERVIOUS_18,50,157
San Mateo vegetation,IMPERVIOUS_18,52,155
San Mateo vegetation,IMPERVIOUS_18,55,154
San Mateo vegetation,IMPERVIOUS_18,57,153
San Mateo vegetation,IMPERVIOUS_18,47,150
San Mateo vegetation,IMPERVIOUS_18,48,150
San Mateo vegetation,IMPERVIOUS_18,49,150
San Mateo vegetation,IMPERVIOUS_18,44,148
San Mateo vegetation,IMPERVIOUS_18,45,148
San Mateo vegetation,IMPERVIOUS_18,56,144
San Mateo vegetation,IMPERVIOUS_18,54,143
San Mateo vegetation,IMPERVIOUS_18,42,141
San Mateo vegetation,IMPERVIOUS_18,58,140
San Mateo vegetation,IMPERVIOUS_18,27,138
San Mateo vegetation,IMPERVIOUS_18,40,137
San Mateo vegetation,IMPERVIOUS_18,43,136
San Mateo vegetation,IMPERVIOUS_18,41,135
San Mateo vegetation,IMPERVIOUS_18,30,132
San Mateo vegetation,IMPERVIOUS_18,59,130
San Mateo vegetation,IMPERVIOUS_18,29,129
San Mateo vegetation,IMPERVIOUS_18,46,128
San Mateo vegetation,IMPERVIOUS_18,31,127
San Mateo vegetation,IMPERVIOUS_18,37,126
San Mateo vegetation,IMPERVIOUS_18,38,125
San Mateo vegetation,IMPERVIOUS_18,36,122
San Mateo vegetation,IMPERVIOUS_18,35,120
San Mateo vegetation,IMPERVIOUS_18,28,119
San Mateo vegetation,IMPERVIOUS_18,60,118
San Mateo vegetation,IMPERVIOUS_18,61,118
San Mateo vegetation,IMPERVIOUS_18,39,117
San Mateo vegetation,IMPERVIOUS_18,34,115
San Mateo vegetation,IMPERVIOUS_18,32,114
San Mateo vegetation,IMPERVIOUS_18,63,108
San Mateo vegetation,IMPERVIOUS_18,62,105
San Mateo vegetation,IMPERVIOUS_18,33,103
San Mateo vegetation,IMPERVIOUS_18,65,94
San Mateo vegetation,IMPERVIOUS_18,64,86
San Mateo vegetation,IMPERVIOUS_18,68,76
San Mateo vegetation,IMPERVIOUS_18,66,75
San Mateo vegetation,IMPERVIOUS_18,67,70
San Mateo vegetation,IMPERVIOUS_18,69,61
San Mateo vegetation,IMPERVIOUS_18,72,58
San Mateo vegetation,IMPERVIOUS_18,70,52
San Mateo vegetation,IMPERVIOUS_18,71,51
San Mateo vegetation,IMPERVIOUS_18,73,48
San Mateo vegetation,IMPERVIOUS_18,75,45
San Mateo vegetation,IMPERVIOUS_18,74,43
San Mateo vegetation,IMPERVIOUS_18,77,33
San Mateo vegetation,IMPERVIOUS_18,80,33
San Mateo vegetation,IMPERVIOUS_18,82,32
San Mateo vegetation,IMPERVIOUS_18,100,31
San Mateo vegetation,IMPERVIOUS_18,78,26
San Mateo vegetation,IMPERVIOUS_18,85,26
San Mateo vegetation,IMPERVIOUS_18,83,25
San Mateo vegetation,IMPERVIOUS_18,84,25
San Mateo vegetation,IMPERVIOUS_18,96,24
San Mateo vegetation,IMPERVIOUS_18,76,23
San Mateo vegetation,IMPERVIOUS_18,79,22
San Mateo vegetation,IMPERVIOUS_18,93,22
San Mateo vegetation,IMPERVIOUS_18,91,20
San Mateo vegetation,IMPERVIOUS_18,95,20
San Mateo vegetation,IMPERVIOUS_18,92,19
San Mateo vegetation,IMPERVIOUS_18,81,18
San Mateo vegetation,IMPERVIOUS_18,90,17
San Mateo vegetation,IMPERVIOUS_18,88,16
San Mateo vegetation,IMPERVIOUS_18,89,16
San Mateo vegetation,IMPERVIOUS_18,86,14
San Mateo vegetation,IMPERVIOUS_18,87,14
San Mateo vegetation,IMPERVIOUS_18,97,14
San Mateo vegetation,IMPERVIOUS_18,98,11
San Mateo vegetation,IMPERVIOUS_18,99,9
San Mateo vegetation,IMPERVIOUS_18,94,8
San Mateo vegetation,PAVED_RD_18,0,84828
San Mateo vegetation,PAVED_RD_18,1,1713
San Mateo vegetation,PAVED_RD_18,2,1202
San Mateo vegetation,PAVED_RD_18,3,1022
San Mateo vegetation,PAVED_RD_18,4,916
San Mateo vegetation,PAVED_RD_18,5,863
San Mateo vegetation,PAVED_RD_18,6,786
San Mateo vegetation,PAVED_RD_18,7,701
San Mateo vegetation,PAVED_RD_18,8,628
San Mateo vegetation,PAVED_RD_18,9,575
San Mateo vegetation,PAVED_RD_18,10,531
San Mateo vegetation,PAVED_RD_18,11,486
San Mateo vegetation,PAVED_RD_18,12,410
San Mateo vegetation,PAVED_RD_18,13,365
San Mateo vegetation,PAVED_RD_18,14,306
San Mateo vegetation,PAVED_RD_18,15,252
San Mateo vegetation,PAVED_RD_18,16,248
